src,slot,label,events,users,dsts,newUsers,newDsts,newUserRatio,newDstRatio,newEdgeRatio,failRatio,rhythm,historySize,knownUsers,userSrcNewRatio,tripleNewCount,tripleNewRatio,minUserScope,movedUserCount,freshUserCount
C14483,288,0,17,3,4,0,0,0,0,0,0,1.6442,4711,5,0,0,0,1,0,0
C15193,288,0,260,3,4,0,0,0,0,0,0,1.0426,6932,5,0,0,0,2,0,0
C1674,288,0,37,2,4,0,0,0,0,0,0,2.0209,5537,2,0,0,0,2,0,0
C105,288,0,1771,1,14,0,0,0,0,0,0,1.0531,301705,5,0,0,0,4,0,0
C1072,288,0,18,1,5,0,1,0,0.2000,0.2222,0,1.5141,2576,1,0,0,0,2,0,0
C11286,288,0,9,2,2,0,0,0,0,0,0,0.8139,2676,4,0,0,0,2,0,0
C11410,288,0,19,4,4,0,0,0,0,0,0,1.7459,3468,6,0,0,0,2,0,0
C1149,288,0,60,2,3,0,0,0,0,0,0.0333,1.1391,11313,8,0,0,0,1,0,0
C11731,288,0,20,3,5,0,0,0,0,0,0,1.5840,4054,7,0,0,0,1,0,0
C11804,288,0,38,3,6,0,0,0,0,0,0,1.6808,5363,4,0,0,0,1,0,0
C12208,288,0,23,2,7,0,0,0,0,0,0,1.8018,3776,4,0,0,0,1,0,0
C12286,288,0,11,1,3,0,0,0,0,0,0,1.2619,3862,5,0,0,0,3,0,0
C1235,288,0,199,2,6,0,0,0,0,0,0,2.4018,11903,3,0,0,0,1,0,0
C12705,288,0,32,2,5,0,0,0,0,0,0,1.8518,5130,4,0,0,0,3,0,0
C12794,288,0,9,1,2,0,0,0,0,0,0,0.9505,3747,8,0,0,0,1,0,0
C13408,288,0,33,4,5,0,0,0,0,0,0,1.3992,4527,7,0,0,0,1,0,0
C14431,288,0,31,2,5,0,0,0,0,0,0,1.5681,3959,4,0,0,0,3,0,0
C14670,288,0,273,2,7,0,0,0,0,0,0,1.0881,32635,4,0,0,0,2,0,0
C1595,288,0,120,1,1,0,1,0,1,1,0,0.5756,17317,1,0,0,0,1,0,0
C1618,288,0,1750,1,14,0,0,0,0,0,0,1.0924,249221,5,0,0,0,3,0,0
C16249,288,0,31,2,6,0,0,0,0,0,0,1.5174,7341,4,0,0,0,3,0,0
C1716,288,0,19,2,4,0,0,0,0,0.1053,0,1.9875,4512,2,0,0,0,1,0,0
C17397,288,0,42,3,7,0,0,0,0,0,0,1.6123,2706,5,0,0,0,3,0,0
C1968,288,0,1508,1,14,0,0,0,0,0,0,1.3136,289585,5,0,0,0,5,0,0
C17792,288,0,28,2,6,0,0,0,0,0,0,2.2176,3826,4,0,0,0,1,0,0
C1861,288,0,32,1,10,0,0,0,0,0,0,1.3777,5147,1,0,0,0,2,0,0
C18896,288,0,35,3,7,0,0,0,0,0,0,1.7819,2407,4,0,0,0,1,0,0
C19284,288,0,13,3,3,0,0,0,0,0,0,1.2840,962,4,0,0,0,1,0,0
C19505,288,0,268,2,6,0,0,0,0,0,0,1.0624,2846,4,0,0,0,3,0,0
C19638,288,0,24,1,5,0,0,0,0,0,0,2.3605,1334,4,0,0,0,3,0,0
C20042,288,0,278,3,6,0,0,0,0,0,0,1.0710,6025,4,0,0,0,3,0,0
C2153,288,0,19,2,4,0,0,0,0,0,0,2.0330,3054,2,0,0,0,2,0,0
C21900,288,0,16,1,4,1,4,1,1,1,0,1.4141,0,0,1,16,1,0,0,16
C26069,288,0,6,1,1,1,1,1,1,1,0,0.4760,0,0,1,6,1,0,0,6
C2402,288,0,110,1,1,0,1,0,1,1,0,0.5293,19607,1,0,0,0,1,0,0
C10694,288,0,12,2,3,2,1,1,0.3333,0,0,1.4216,447,9,1,0,0,12,12,0
C3276,288,0,33,2,5,0,0,0,0,0,0,1.5995,6311,5,0,0,0,1,0,0
C3509,288,0,26,2,6,0,0,0,0,0,0,1.5650,4720,4,0,0,0,1,0,0
C3977,288,0,9,1,1,0,0,0,0,0,0,0.9576,2771,4,0,0,0,1,0,0
C3986,288,0,31,1,10,0,0,0,0,0,0,2.0669,5125,4,0,0,0,2,0,0
C4034,288,0,24,5,5,0,0,0,0,0.0417,0,1.9865,4255,7,0,0,0,1,0,0
C44,288,0,19,1,5,0,0,0,0,0,0,1.8244,3580,4,0,0,0,4,0,0
C5308,288,0,22,2,6,0,0,0,0,0,0,1.6001,2747,4,0,0,0,1,0,0
C553,288,0,575,2,11,0,0,0,0,0,0,1.2547,127024,15,0,0,0,6,0,0
C5693,288,0,29,2,6,0,0,0,0,0.1724,0,1.9860,5568,15,0,0,0,2,0,0
C585,288,0,2406,2,3,0,0,0,0,0,0,2.9925,462072,24,0,0,0,1,0,0
C608,288,0,12,1,3,0,0,0,0,0,0,1.3264,2681,3,0,0,0,3,0,0
C1798,288,0,2995,2621,2621,31,31,0.0118,0.0118,0.0100,0,1.0560,638504,7435,0.0104,30,0.0100,0,5,26
C6409,288,0,17,2,4,0,0,0,0,0,0,1.4463,3616,5,0,0,0,3,0,0
C6851,288,0,28,3,5,0,0,0,0,0,0,1.2200,4513,6,0,0,0,1,0,0
C6867,288,0,12,1,1,0,0,0,0,0,0,1.1566,4970,7,0,0,0,1,0,0
C724,288,0,29,3,4,0,0,0,0,0,0,2.0764,4744,5,0,0,0,1,0,0
C27048,288,0,15,2,4,0,0,0,0,0,0,1.5430,2087,4,0,0,0,2,0,0
C7548,288,0,2,2,1,0,0,0,0,0,0,0,254,5,0,0,0,2,0,0
C791,288,0,39,3,5,0,0,0,0,0,0,1.8613,6545,4,0,0,0,4,0,0
C9103,288,0,9,1,1,0,0,0,0,0,0,0.8898,2939,4,0,0,0,3,0,0
C914,288,0,9,1,2,0,0,0,0,0,0,1.1797,5017,2,0,0,0,4,0,0
C11950,288,0,41,4,5,0,0,0,0,0,0,2.0029,6300,10,0,0,0,1,0,0
C3417,288,0,23,4,5,0,0,0,0,0,0,1.6558,3640,5,0,0,0,1,0,0
C229,288,0,2361,12,5,0,0,0,0,0,0,1.2633,397708,23,0,0,0,2,0,0
C452,288,0,474,2,6,0,0,0,0,0,0,2.1992,107302,5,0,0,0,4,0,0
C477,288,0,722,2,8,0,0,0,0,0,0,2.3180,285780,5,0,0,0,4,0,0
C849,288,0,535,2,6,0,0,0,0,0,0,2.2215,229640,6,0,0,0,4,0,0
C7312,288,0,10,2,3,0,0,0,0,0,0,1.3352,5442,7,0,0,0,1,0,0
C419,288,0,2421,12,5,0,0,0,0,0,0,1.1412,309626,27,0,0,0,1,0,0
C1143,288,0,46,2,9,0,0,0,0,0,0,2.0053,4095,3,0,0,0,1,0,0
C1666,288,0,78,2,5,0,0,0,0,0,0,1.1178,20484,4,0,0,0,2,0,0
C315,288,0,57,3,6,0,0,0,0,0,0,1.5537,6720,4,0,0,0,4,0,0
C1785,288,0,42,2,4,0,0,0,0,0,0,1.7883,9252,7,0,0,0,1,0,0
C11309,288,0,639,3,8,0,0,0,0,0,0,1.9223,10962,4,0,0,0,3,0,0
C10008,288,0,20,1,7,0,0,0,0,0,0,1.6857,3527,4,0,0,0,3,0,0
C101,288,0,532,2,12,0,0,0,0,0,0,1.3785,115890,15,0,0,0,6,0,0
C1014,288,0,26,2,3,0,0,0,0,0,0,1.5229,7109,3,0,0,0,3,0,0
C10208,288,0,33,3,5,0,0,0,0,0,0,1.7970,12624,7,0,0,0,3,0,0
C10235,288,0,19,2,6,0,0,0,0,0,0,1.6416,3918,4,0,0,0,3,0,0
C10245,288,0,17,2,6,0,0,0,0,0,0,1.5245,4718,4,0,0,0,3,0,0
C10353,288,0,3,1,1,0,0,0,0,0,0,0.9951,5413,4,0,0,0,3,0,0
C10451,288,0,17,2,7,0,0,0,0,0,0,1.6880,4741,4,0,0,0,1,0,0
