src,slot,label,events,users,dsts,newUsers,newDsts,newUserRatio,newDstRatio,newEdgeRatio,failRatio,rhythm,historySize,knownUsers,userSrcNewRatio,tripleNewCount,tripleNewRatio,minUserScope,movedUserCount,freshUserCount
C7497,192,0,23,3,5,0,0,0,0,0,0,1.7852,4547,9,0,0,0,2,0,0
C14395,192,0,21,4,5,0,0,0,0,0,0,1.8498,2280,7,0,0,0,1,0,0
C27159,192,0,16,2,4,0,0,0,0,0,0,1.8958,2042,4,0,0,0,3,0,0
C15337,192,0,36,3,7,0,0,0,0,0,0,1.9126,4155,4,0,0,0,3,0,0
C14223,192,0,10,3,4,0,0,0,0,0,0,1.3206,2923,6,0,0,0,1,0,0
C10208,192,0,650,3,8,0,0,0,0,0,0,1.8802,12624,7,0,0,0,3,0,0
C10375,192,0,26,1,8,0,0,0,0,0,0,1.5842,5762,6,0,0,0,5,0,0
C10412,192,0,103,2,8,0,0,0,0,0,0,1.1370,19290,4,0,0,0,1,0,0
C10494,192,0,17,3,5,0,0,0,0,0,0,1.7271,3066,5,0,0,0,1,0,0
C108,192,0,8,1,1,0,0,0,0,0,0,0.5334,2399,3,0,0,0,2,0,0
C11338,192,0,26,3,5,0,0,0,0,0,0,2.2439,3163,6,0,0,0,1,0,0
C1134,192,0,33,2,6,0,0,0,0,0,0,2.3553,13286,3,0,0,0,1,0,0
C1149,192,0,56,2,3,0,0,0,0,0,0.0357,1.0715,11313,8,0,0,0,1,0,0
C11803,192,0,37,3,3,0,0,0,0,0,0,1.4904,4819,3,0,0,0,1,0,0
C12236,192,0,21,2,5,0,0,0,0,0,0,1.8014,3631,4,0,0,0,1,0,0
C12682,192,0,39,2,5,0,0,0,0,0,0,1.0642,3925,4,0,0,0,1,0,0
C13126,192,0,2,2,1,0,0,0,0,0,0,0,261,5,0,0,0,3,0,0
C13221,192,0,20,4,5,0,0,0,0,0,0,1.5183,4244,6,0,0,0,1,0,0
C1354,192,0,41,3,5,0,0,0,0,0,0,1.7979,6673,3,0,0,0,1,0,0
C1519,192,0,19,2,4,0,0,0,0,0,0,1.2509,3619,2,0,0,0,3,0,0
C152,192,0,21,2,7,0,0,0,0,0,0,2.1084,3435,5,0,0,0,3,0,0
C15211,192,0,25,5,5,0,0,0,0,0,0,1.3895,5026,7,0,0,0,1,0,0
C16318,192,0,39,2,6,0,0,0,0,0,0,1.8258,6031,4,0,0,0,3,0,0
C16553,192,0,9,1,2,0,0,0,0,0,0,1.1531,3589,4,0,0,0,3,0,0
C1709,192,0,537,1,11,0,0,0,0,0,0,1.1498,109796,3,0,0,0,8,0,0
C1968,192,0,1030,2,14,0,0,0,0,0,0,1.2982,289585,5,0,0,0,5,0,0
C1843,192,0,24,1,8,0,0,0,0,0,0,1.7492,5088,7,0,0,0,2,0,0
C1861,192,0,31,1,9,0,0,0,0,0,0,1.6002,5147,1,0,0,0,2,0,0
C18810,192,0,50,3,5,0,0,0,0,0,0,2.2232,3115,4,0,0,0,3,0,0
C19778,192,0,30,2,6,0,0,0,0,0,0,1.9507,1597,4,0,0,0,2,0,0
C1997,192,0,118,1,1,0,0,0,0,0,0,0.5815,22823,1,0,0,0,1,0,0
C21035,192,0,20,2,3,0,0,0,0,0,0,1.6218,1009,2,0,0,0,1,0,0
C21454,192,0,47,3,6,0,0,0,0,0,0,2.0634,673,6,0,0,0,2,0,0
C21499,192,0,11,1,3,0,0,0,0,0,0,1.1728,372,4,0,0,0,3,0,0
C21505,192,0,9,1,2,0,0,0,0,0,0,0.9518,349,4,0,0,0,3,0,0
C21635,192,0,8,1,1,0,0,0,0,0,0,0.6071,726,10,0,0,0,1,0,0
C217,192,0,740,3,5,0,0,0,0,0,0,0.2012,48219,5,0,0,0,3,0,0
C2591,192,0,25,3,5,0,0,0,0,0,0,2.0286,4512,6,0,0,0,1,0,0
C262,192,0,19,2,5,0,0,0,0,0,0,1.5765,3982,2,0,0,0,1,0,0
C2970,192,0,16,3,3,0,0,0,0,0,0,1.2677,2987,6,0,0,0,1,0,0
C3361,192,0,22,3,5,0,0,0,0,0,0,1.5435,2580,3,0,0,0,1,0,0
C4059,192,0,24,5,7,0,0,0,0,0,0,2.1498,2577,5,0,0,0,1,0,0
C4408,192,0,12,2,4,0,0,0,0,0,0,1.3421,3478,5,0,0,0,1,0,0
C466,192,0,108,3,8,0,0,0,0,0,0,2.2573,12221,20,0,0,0,2,0,0
C4698,192,0,22,4,7,0,0,0,0,0,0,1.8766,4476,6,0,0,0,1,0,0
C4775,192,0,27,4,4,0,0,0,0,0,0,1.6800,5164,7,0,0,0,1,0,0
C4784,192,0,10,1,2,0,0,0,0,0,0,1.0859,2362,81,0,0,0,1,0,0
C539,192,0,1245,1,14,0,0,0,0,0,0,1.3666,331829,4,0,0,0,4,0,0
C558,192,0,18,2,4,0,0,0,0,0,0,1.8791,4410,2,0,0,0,2,0,0
C585,192,0,1803,2,5,0,0,0,0,0,0,5.7937,462072,24,0,0,0,1,0,0
C601,192,0,28,2,6,0,0,0,0,0,0,1.6338,6061,2,0,0,0,3,0,0
C6285,192,0,23,2,5,0,0,0,0,0,0,1.5433,2903,6,0,0,0,3,0,0
C6322,192,0,40,3,5,0,0,0,0,0,0,1.8993,6425,5,0,0,0,2,0,0
C652,192,0,21,1,5,0,0,0,0,0,0,1.9112,2524,3,0,0,0,3,0,0
C718,192,0,18,1,6,0,0,0,0,0,0,1.3956,4203,2,0,0,0,3,0,0
C743,192,0,1777,3,7,0,0,0,0,0,0,6.3468,412518,6,0,0,0,1,0,0
C7593,192,0,18,4,4,0,0,0,0,0,0,1.6049,5360,9,0,0,0,1,0,0
C8458,192,0,31,3,4,0,0,0,0,0,0,1.6798,6553,4,0,0,0,1,0,0
C8889,192,0,14,2,3,0,0,0,0,0,0,1.1284,3092,8,0,0,0,3,0,0
C8949,192,0,24,4,6,0,0,0,0,0,0,2.0639,5511,8,0,0,0,1,0,0
C918,192,0,20,1,6,0,0,0,0,0,0,1.4672,2775,1,0,0,0,2,0,0
C9467,192,0,21,4,5,0,0,0,0,0,0,1.3218,4482,7,0,0,0,1,0,0
C9521,192,0,19,1,2,0,0,0,0,0,0,1.9109,2549,3,0,0,0,5,0,0
C7,192,0,1194,6,4,0,0,0,0,0,0,0.8593,173526,12,0,0,0,1,0,0
C3705,192,0,19,4,3,0,0,0,0,0,0,1.9394,4436,5,0,0,0,1,0,0
C2022,192,0,181,2,3,0,0,0,0,0,0,0.2455,38782,7,0,0,0,3,0,0
C421,192,0,197,3,4,0,0,0,0,0,0,0.3766,35279,6,0,0,0,3,0,0
C426,192,0,196,3,4,0,0,0,0,0,0,0.3226,43278,6,0,0,0,3,0,0
C433,192,0,196,3,4,0,0,0,0,0,0,0.3542,41723,5,0,0,0,3,0,0
C229,192,0,2382,12,5,0,0,0,0,0,0,0.8591,397708,23,0,0,0,2,0,0
C849,192,0,696,2,5,0,0,0,0,0,0,2.7699,229640,6,0,0,0,4,0,0
C9148,192,0,24,2,4,0,0,0,0,0,0,1.9365,3432,5,0,0,0,3,0,0
C16537,192,0,96,2,6,0,0,0,0,0,0,0.7101,2061,4,0,0,0,2,0,0
C936,192,0,51,3,3,0,0,0,0,0,0,1.1437,10982,7,0,0,0,1,0,0
C419,192,0,1660,12,2,0,0,0,0,0,0,0.7214,309626,27,0,0,0,1,0,0
C17231,192,0,48,3,6,0,0,0,0,0,0,1.9155,6114,3,0,0,0,3,0,0
C17602,192,0,14,2,4,0,0,0,0,0,0,1.8431,4341,6,0,0,0,3,0,0
C2186,192,0,45,3,7,0,0,0,0,0,0,0.9703,9460,4,0,0,0,1,0,0
C352,192,0,30,2,6,0,0,0,0,0,0,1.7295,6428,3,0,0,0,1,0,0
C16700,192,0,32,3,6,0,0,0,0,0,0,1.8675,4162,6,0,0,0,1,0,0
C1692,192,0,34,2,2,0,0,0,0,0,0.7647,0.9714,6964,7,0,0,0,1,0,0
C16803,192,0,33,2,6,0,0,0,0,0,0,1.9670,3262,4,0,0,0,1,0,0
C1785,192,0,42,2,4,0,0,0,0,0,0,1.9650,9252,7,0,0,0,1,0,0
C1786,192,0,79,5,5,0,0,0,0,0,0,0.9436,15521,5,0,0,0,2,0,0
C3076,192,0,25,3,7,0,0,0,0,0,0,1.3861,5004,4,0,0,0,4,0,0
C13130,192,0,16,4,3,0,0,0,0,0,0,1.4856,4453,6,0,0,0,1,0,0
C10251,192,0,36,3,6,0,0,0,0,0,0,1.5955,7566,3,0,0,0,1,0,0
C13709,192,0,37,2,7,0,0,0,0,0,0,1.9715,6819,4,0,0,0,3,0,0
C16581,192,0,41,3,6,0,0,0,0,0,0,1.6530,7034,4,0,0,0,1,0,0
C6631,192,0,48,3,6,0,0,0,0,0,0,2.2581,5171,4,0,0,0,2,0,0
C7298,192,0,33,2,5,0,0,0,0,0,0,1.7177,9140,6,0,0,0,32,0,0
C13406,192,0,26,5,4,0,0,0,0,0,0,1.7618,5149,10,0,0,0,2,0,0
C1023,192,0,13,1,5,0,0,0,0,0,0,1.2729,7638,9,0,0,0,3,0,0
C10235,192,0,24,1,5,0,0,0,0,0,0,1.7471,3918,4,0,0,0,3,0,0
C10295,192,0,9,1,2,0,0,0,0,0,0,0.9596,3617,4,0,0,0,3,0,0
C1085,192,0,444,4,12,0,0,0,0,0,0.0180,1.4490,95895,14,0,0,0,6,0,0
C110,192,0,19,2,5,0,0,0,0,0,0,1.3879,4567,4,0,0,0,4,0,0
C111,192,0,25,2,4,0,0,0,0,0,0,2.0326,2975,3,0,0,0,4,0,0
C11274,192,0,20,4,4,0,0,0,0,0,0,1.9764,3838,6,0,0,0,1,0,0
C1152,192,0,67,4,2,0,0,0,0,0,0,1.4384,16747,10,0,0,0,1,0,0
C11663,192,0,22,2,4,0,0,0,0,0,0,1.4337,5036,4,0,0,0,1,0,0
C117,192,0,20,2,6,0,0,0,0,0,0,1.5413,5079,4,0,0,0,2,0,0
C11966,192,0,24,2,5,0,0,0,0,0,0,1.7209,3102,6,0,0,0,1,0,0
C12412,192,0,26,2,5,0,0,0,0,0,0,2.2277,3805,4,0,0,0,1,0,0
C1298,192,0,26,2,4,0,0,0,0,0,0,1.9942,3784,2,0,0,0,2,0,0
C13246,192,0,36,2,5,0,0,0,0,0,0,2.2434,1927,4,0,0,0,1,0,0
C1521,192,0,963,153,153,0,0,0,0,0,0.0021,0.9995,365676,6924,0,0,0,2,0,0
C13294,192,0,8,1,2,0,0,0,0,0,0,1.0734,6532,4,0,0,0,3,0,0
C1391,192,0,8,1,2,0,0,0,0,0,0,0.8152,2691,1,0,0,0,2,0,0
C14358,192,0,25,2,6,0,0,0,0,0,0,1.9819,4764,9,0,0,0,3,0,0
C1495,192,0,14,1,4,0,0,0,0,0,0,1.4260,4194,6,0,0,0,3,0,0
C153,192,0,17,2,3,0,0,0,0,0,0,1.3567,1533,4,0,0,0,1,0,0
C15342,192,0,24,2,4,0,0,0,0,0,0,1.8745,3432,5,0,0,0,3,0,0
C15384,192,0,12,1,6,0,0,0,0,0,0,1.2647,3794,4,0,0,0,3,0,0
C1539,192,0,26,2,4,0,0,0,0,0,0,2.0112,3618,2,0,0,0,1,0,0
C1542,192,0,9,1,2,0,0,0,0,0,0,0.9286,3795,4,0,0,0,3,0,0
C1543,192,0,46,3,6,0,0,0,0,0,0,2.0681,7123,4,0,0,0,3,0,0
C1570,192,0,37,1,2,0,0,0,0,0,0.0270,1.1671,20923,24,0,0,0,5,0,0
C1579,192,0,34,2,7,0,0,0,0,0,0,2.2683,3718,2,0,0,0,2,0,0
C1634,192,0,55,2,2,0,0,0,0,0,0,0.9901,11483,2,0,0,0,1,0,0
C16848,192,0,30,2,4,0,0,0,0,0,0,1.6539,4634,5,0,0,0,3,0,0
C1719,192,0,24,2,3,0,0,0,0,0,0,1.5953,4300,7,0,0,0,1,0,0
C1727,192,0,278,3,11,0,0,0,0,0,0,1.0281,77459,11,0,0,0,2,0,0
C17515,192,0,18,1,2,0,0,0,0,0,0,1.6221,3177,6,0,0,0,1,0,0
C1814,192,0,18,1,4,0,0,0,0,0,0,1.2132,2347,4,0,0,0,3,0,0
C1840,192,0,15,2,5,0,0,0,0,0,0,1.5242,6370,4,0,0,0,4,0,0
C18401,192,0,45,3,5,0,0,0,0,0,0,1.9696,2399,4,0,0,0,1,0,0
C18767,192,0,10,1,2,0,0,0,0,0,0,1.0805,494,6,0,0,0,3,0,0
C18902,192,0,20,4,4,0,0,0,0,0,0,1.4489,2092,9,0,0,0,1,0,0
C1906,192,0,10,1,2,0,0,0,0,0,0,1.0244,3243,5,0,0,0,3,0,0
C19164,192,0,22,2,7,0,0,0,0,0,0,1.8031,1106,4,0,0,0,2,0,0
C19368,192,0,11,2,4,0,0,0,0,0,0,1.0923,730,2,0,0,0,1,0,0
C19622,192,0,37,2,6,0,0,0,0,0,0,1.8124,1435,4,0,0,0,1,0,0
C1970,192,0,56,1,2,0,0,0,0,0,0,1.0436,11163,2,0,0,0,1,0,0
C19787,192,0,31,2,4,0,0,0,0,0,0,1.7504,2838,4,0,0,0,3,0,0
C20035,192,0,9,1,3,0,0,0,0,0,0,1.0524,852,4,0,0,0,3,0,0
C20061,192,0,19,2,5,0,0,0,0,0,0,1.6939,1434,4,0,0,0,3,0,0
C20314,192,0,34,3,5,0,0,0,0,0,0,1.7882,2482,5,0,0,0,1,0,0
C20557,192,0,8,1,1,0,0,0,0,0,0,0.7947,1008,9,0,0,0,1,0,0
C20714,192,0,32,2,4,0,0,0,0,0,0,1.8341,1148,4,0,0,0,3,0,0
C20752,192,0,20,4,4,0,0,0,0,0,0,1.8411,1201,8,0,0,0,1,0,0
C20815,192,0,21,1,4,0,0,0,0,0,0,1.9037,433,6,0,0,0,3,0,0
C2115,192,0,10,1,2,0,0,0,0,0,0,1.1021,2208,3,0,0,0,2,0,0
C21288,192,0,37,3,6,0,0,0,0,0,0,1.8778,1369,4,0,0,0,3,0,0
C21469,192,0,26,2,3,0,0,0,0,0,0,1.5760,653,4,0,0,0,3,0,0
C21524,192,0,31,2,4,0,0,0,0,0,0,2.2509,865,6,0,0,0,3,0,0
C21859,192,0,34,2,6,0,0,0,0,0,0,1.7908,325,4,0,0,0,3,0,0
C2202,192,0,6,1,2,0,0,0,0,0,0,0.5133,2474,1,0,0,0,2,0,0
C2259,192,0,17,1,5,0,0,0,0,0,0,1.7160,3059,4,0,0,0,2,0,0
C2320,192,0,163,1,1,0,0,0,0,0,0,0.6230,30079,1,0,0,0,1,0,0
C2379,192,0,41,1,2,0,0,0,0,0,0,1.2913,11735,3,0,0,0,2,0,0
C2462,192,0,16,1,4,0,0,0,0,0,0,1.5081,2338,1,0,0,0,2,0,0
C2503,192,0,9,1,2,0,0,0,0,0,0,0.9328,2492,1,0,0,0,2,0,0
C2506,192,0,8,2,3,0,0,0,0,0,0,0.8062,3529,2,0,0,0,1,0,0
C2521,192,0,112,4,9,0,0,0,0,0,0.0089,2.2669,27678,294,0,0,0,6,0,0
C2700,192,0,3,1,1,0,0,0,0,0,0,0.9565,71,1,0,0,0,4,0,0
C28,192,0,56,3,7,0,0,0,0,0,0,1.9709,6948,3,0,0,0,1,0,0
C289,192,0,27,3,5,0,0,0,0,0,0,1.5507,4905,4,0,0,0,2,0,0
C300,192,0,9,1,1,0,0,0,0,0,0,0.9230,2392,1,0,0,0,2,0,0
C3078,192,0,36,2,4,0,0,0,0,0,0,1.0140,7269,6,0,0,0,1,0,0
C3279,192,0,10,1,3,0,0,0,0,0,0,0.9986,4050,4,0,0,0,3,0,0
C3460,192,0,15,1,5,0,0,0,0,0,0,1.5744,3456,5,0,0,0,5,0,0
C3650,192,0,18,4,4,0,0,0,0,0,0,1.5613,3878,6,0,0,0,1,0,0
C3801,192,0,35,2,5,0,0,0,0,0,0,1.4292,7145,4,0,0,0,3,0,0
C4334,192,0,13,1,4,0,0,0,0,0,0,1.3224,3704,2,0,0,0,3,0,0
C4655,192,0,22,2,6,0,0,0,0,0,0,1.9367,3727,4,0,0,0,1,0,0
C471,192,0,6,1,2,0,0,0,0,0,0,0.5620,6240,5,0,0,0,3,0,0
C489,192,0,22,2,5,0,0,0,0,0,0,1.8186,4202,2,0,0,0,1,0,0
C5420,192,0,22,3,4,0,0,0,0,0,0,1.8360,2708,5,0,0,0,1,0,0
C553,192,0,679,2,11,0,0,0,0,0,0,1.1863,127024,15,0,0,0,6,0,0
C561,192,0,180,4,8,0,0,0,0,0,0,1.3880,35424,7,0,0,0,3,0,0
C574,192,0,1200,2,14,0,0,0,0,0,0,1.2672,317785,6,0,0,0,7,0,0
C575,192,0,22,2,6,0,0,0,0,0,0,1.6675,4127,2,0,0,0,4,0,0
C578,192,0,22,1,5,0,0,0,0,0,0,1.3402,2545,1,0,0,0,2,0,0
C592,192,0,13,2,5,0,0,0,0,0,0,1.2584,3023,4,0,0,0,1,0,0
C608,192,0,19,1,5,0,0,0,0,0,0,1.4675,2681,3,0,0,0,3,0,0
C6110,192,0,9,1,2,0,0,0,0,0,0,0.9458,3412,4,0,0,0,3,0,0
C6194,192,0,35,3,7,0,0,0,0,0,0,1.6771,4226,4,0,0,0,1,0,0
C6561,192,0,24,2,6,0,0,0,0,0,0,2.2443,3929,4,0,0,0,1,0,0
C698,192,0,491,1,5,0,0,0,0,0,0,0.7303,42890,12,0,0,0,4,0,0
C707,192,0,12,2,3,0,0,0,0,0,0,1.0942,4623,4,0,0,0,4,0,0
C1798,192,0,3469,3080,3080,1,1,0.0003,0.0003,0.0003,0,1.0925,638504,7435,0.0003,1,0.0003,1,1,0
C7516,192,0,40,4,4,0,0,0,0,0,0,2.1691,3675,9,0,0,0,1,0,0
C7558,192,0,47,3,7,0,0,0,0,0,0,2.0791,6825,4,0,0,0,1,0,0
C762,192,0,14,2,6,0,0,0,0,0,0,1.2299,3026,2,0,0,0,4,0,0
C778,192,0,22,2,6,0,0,0,0,0,0,1.7282,3820,2,0,0,0,3,0,0
C7905,192,0,17,2,5,0,0,0,0,0,0,1.1052,3626,4,0,0,0,2,0,0
C7978,192,0,28,2,5,0,0,0,0,0,0,2.1183,4348,4,0,0,0,2,0,0
C8109,192,0,22,2,5,0,0,0,0,0,0,1.7578,3653,5,0,0,0,3,0,0
C816,192,0,20,2,5,0,0,0,0,0,0,1.6431,4101,2,0,0,0,1,0,0
C8178,192,0,13,2,3,0,0,0,0,0,0,1.2181,4117,4,0,0,0,1,0,0
C8258,192,0,18,2,4,0,0,0,0,0,0,1.8537,2500,4,0,0,0,1,0,0
C8350,192,0,20,2,5,0,0,0,0,0,0,1.5486,4006,4,0,0,0,3,0,0
C8466,192,0,25,4,6,0,0,0,0,0,0,1.9218,3642,5,0,0,0,1,0,0
C8693,192,0,35,2,5,0,0,0,0,0,0,1.8532,6650,3,0,0,0,1,0,0
C8878,192,0,29,4,6,0,0,0,0,0,0,2.0720,1912,7,0,0,0,1,0,0
C9038,192,0,17,1,5,0,0,0,0,0,0,1.2625,4091,4,0,0,0,3,0,0
C939,192,0,14,1,3,0,0,0,0,0,0,1.4373,4001,4,0,0,0,3,0,0
C9512,192,0,10,2,3,0,0,0,0,0,0,1.1667,4041,4,0,0,0,1,0,0
C9617,192,0,11,2,3,0,0,0,0,0,0,1.1742,5288,4,0,0,0,3,0,0
C988,192,0,811,3,13,0,0,0,0,0,0.0099,1.2372,104753,16,0,0,0,6,0,0
C13968,192,0,18,4,3,0,0,0,0,0,0,1.5157,5431,7,0,0,0,1,0,0
C1868,192,0,150,2,8,0,0,0,0,0,0,0.4455,27357,2,0,0,0,2,0,0
C2608,192,0,90,4,11,0,0,0,0,0,0,1.8529,18476,5,0,0,0,1,0,0
C17392,192,0,27,2,4,0,0,0,0,0,0,2.0196,2809,6,0,0,0,3,0,0
C626,192,0,39,4,4,0,0,0,0,0,0,1.9237,7659,10,0,0,0,4,0,0
C1603,192,0,12,2,3,0,0,0,0,0,0,1.1966,2828,8,0,0,0,1,0,0
C798,192,0,34,5,1,0,0,0,0,0,0,0.9962,6423,9,0,0,0,3,0,0
C616,192,0,94,3,12,0,0,0,0,0,0,0.6953,14475,8,0,0,0,2,0,0
C815,192,0,139,3,4,0,0,0,0,0,0,0.8113,28816,11,0,0,0,1,0,0
C23074,192,0,8,2,1,0,0,0,0,0,0,1.0731,3615,4,0,0,0,2,0,0
C1025,192,0,136,4,5,0,0,0,0,0,0,0.6647,24423,4,0,0,0,3,0,0
C1143,192,0,40,2,8,0,0,0,0,0,0,2.1553,4095,3,0,0,0,1,0,0
C1581,192,0,334,8,3,0,0,0,0,0,0,0.7061,70864,38,0,0,0,2,0,0
C1669,192,0,182,2,4,0,2,0,0.5000,0.3132,0,1.0972,23745,6,0,0,0,1,0,0
C1848,192,0,72,3,10,0,0,0,0,0,0,1.4599,11098,23,0,0,0,2,0,0
C1183,192,0,94,2,7,0,0,0,0,0,0,1.0526,181469,13,0,0,0,10,0,0
C61,192,0,807,8,4,0,0,0,0,0,0,1.5198,181470,22,0,0,0,2,0,0
C16422,192,0,21,3,3,0,0,0,0,0,0,1.2688,5453,4,0,0,0,3,0,0
C2742,192,0,46,2,5,0,0,0,0,0,0,0.6531,7063,4,0,0,0,1,0,0
C1731,192,0,72,2,4,0,0,0,0,0,0,0.3985,18719,7,0,0,0,1,0,0
C2724,192,0,178,2,8,0,0,0,0,0,0,0.9933,25106,4,0,0,0,1,0,0
C1350,192,0,21,2,5,0,0,0,0,0,0,1.7601,3574,2,0,0,0,2,0,0
C18984,192,0,50,2,7,0,0,0,0,0,0,2.0104,2757,4,0,0,0,2,0,0
C2944,192,0,15,2,5,0,0,0,0,0,0,1.3748,2582,2,0,0,0,1,0,0
C1787,192,0,26,2,4,0,0,0,0,0,0,0.9041,3208,2,0,0,0,2,0,0
C4248,192,0,26,2,2,0,0,0,0,0,0,1.5071,5562,2,0,0,0,1,0,0
C8709,192,0,39,3,7,0,0,0,0,0,0,1.6926,6496,4,0,0,0,2,0,0
C10063,192,0,31,3,4,0,0,0,0,0,0,1.3929,7324,4,0,0,0,3,0,0
C10105,192,0,26,2,7,0,0,0,0,0,0,1.9204,4310,4,0,0,0,1,0,0
