случайные подмножества из 24 сетей четырёх семей, 12 выборок: медиана [мин..макс]
сетей         до 16-го         до 24-го           до 32-го
    1      43 [3..329]   293 [100..424]  1397 [407..10846]
    2      10 [1..108]     109 [6..218]    763 [253..9711]
    3        7 [1..28]      27 [11..73]    724 [264..2662]
    4        4 [1..33]       24 [9..62]    636 [363..1129]
    6        3 [1..11]       24 [7..99]    606 [204..1068]
    8         3 [1..5]       10 [2..46]     440 [320..817]
   12         1 [1..5]        5 [1..16]     367 [279..607]
   16         1 [1..4]        7 [2..29]     331 [256..516]
   24         1 [1..1]         7 [7..7]     326 [326..326]

шесть сетей: одна семья против смеси семей (12 выборок, медиана до 16/24/32)
  ns                  7 /   19 /   621
  st                  8 /   24 /   389
  nh                  2 /   43 /  2538
  2 ns+2 st+2 nh      4 /   36 /   532
  3 ns+3 nh           2 /   22 /   777
