данные загружены за 1 с

архитектура             весов      д8 AUC         д12 AUC
------------------------------------------------------------
плоская 4                  81  0.99868+-0.00184   0.94208+-0.00946
плоская 8                 161  0.99998+-0.00001   0.94151+-0.00945
плоская 16                321  0.99997+-0.00001   0.94619+-0.01355
плоская 32                641  0.99997+-0.00001   0.95461+-0.01376
плоская 64               1281  0.99997+-0.00001   0.95296+-0.00952
плоская 128              2561  0.99996+-0.00002   0.96274+-0.00202
плоская 256              5121  0.99997+-0.00000   0.95646+-0.00693
2сл 16-8                  449  0.99995+-0.00004   0.95278+-0.01589
2сл 24-12                 769  0.99997+-0.00002   0.94112+-0.00436
2сл 32-16                1153  0.99996+-0.00001   0.95968+-0.01217
2сл 48-24                2113  0.99997+-0.00001   0.94646+-0.01082
2сл 64-32                3329  0.99996+-0.00002   0.96147+-0.00836
2сл 128-64              10753  0.99995+-0.00002   0.96318+-0.01032
3сл 16                    865  0.99991+-0.00004   0.96520+-0.00442
3сл 24                   1681  0.99995+-0.00002   0.95284+-0.01278
3сл 32                   2753  0.99997+-0.00001   0.95870+-0.01089
3сл 64-32-16             3841  0.99996+-0.00001   0.95620+-0.01233
глуб 12x4                 709  0.99996+-0.00003   0.95619+-0.00626
глуб 12x6                1021  0.99994+-0.00005   0.94210+-0.01622
глуб 12x8                1333  0.99997+-0.00002   0.97518+-0.00343
глуб 12x10               1645  0.99995+-0.00003   0.96627+-0.00497
глуб 12x12               1957  0.99940+-0.00046   0.94923+-0.01033
глуб 8x8                  665  0.99880+-0.00113   0.94800+-0.01881
глуб 16x8                2225  0.99993+-0.00005   0.96421+-0.01450
глуб 24x8                4681  0.99978+-0.00023   0.96148+-0.01067
глуб 20x6                2501  0.99994+-0.00003   0.96727+-0.00978
глуб 32x6                5921  0.99993+-0.00007   0.97430+-0.01526
перетяжка 32-8-32        1193  0.99998+-0.00000   0.95741+-0.01204
перетяжка 64-8-64        2377  0.99997+-0.00001   0.96914+-0.00867
пирамида 100-50-25       8251  0.99997+-0.00003   0.96366+-0.01136
пирамида 64-48-32-16     6449  0.99994+-0.00004   0.97076+-0.00939

всего обучено 93 сетей за 170 с

=== десятка лучших по трудному дню ===
  глуб 12x8                1333 весов   д12 0.97518+-0.00343   д8 0.99997
  глуб 32x6                5921 весов   д12 0.97430+-0.01526   д8 0.99993
  пирамида 64-48-32-16     6449 весов   д12 0.97076+-0.00939   д8 0.99994
  перетяжка 64-8-64        2377 весов   д12 0.96914+-0.00867   д8 0.99997
  глуб 20x6                2501 весов   д12 0.96727+-0.00978   д8 0.99994
  глуб 12x10               1645 весов   д12 0.96627+-0.00497   д8 0.99995
  3сл 16                    865 весов   д12 0.96520+-0.00442   д8 0.99991
  глуб 16x8                2225 весов   д12 0.96421+-0.01450   д8 0.99993
  пирамида 100-50-25       8251 весов   д12 0.96366+-0.01136   д8 0.99997
  2сл 128-64              10753 весов   д12 0.96318+-0.01032   д8 0.99995

предсказания сохранены для сборки консилиума
