data loaded in 1 s

architecture             weights      d8 AUC         d12 AUC
------------------------------------------------------------
flat 4                  81  0.99868+-0.00184   0.94208+-0.00946
flat 8                 161  0.99998+-0.00001   0.94151+-0.00945
flat 16                321  0.99997+-0.00001   0.94619+-0.01355
flat 32                641  0.99997+-0.00001   0.95461+-0.01376
flat 64               1281  0.99997+-0.00001   0.95296+-0.00952
flat 128              2561  0.99996+-0.00002   0.96274+-0.00202
flat 256              5121  0.99997+-0.00000   0.95646+-0.00693
2-layer 16-8                  449  0.99995+-0.00004   0.95278+-0.01589
2-layer 24-12                 769  0.99997+-0.00002   0.94112+-0.00436
2-layer 32-16                1153  0.99996+-0.00001   0.95968+-0.01217
2-layer 48-24                2113  0.99997+-0.00001   0.94646+-0.01082
2-layer 64-32                3329  0.99996+-0.00002   0.96147+-0.00836
2-layer 128-64              10753  0.99995+-0.00002   0.96318+-0.01032
3-layer 16                    865  0.99991+-0.00004   0.96520+-0.00442
3-layer 24                   1681  0.99995+-0.00002   0.95284+-0.01278
3-layer 32                   2753  0.99997+-0.00001   0.95870+-0.01089
3-layer 64-32-16             3841  0.99996+-0.00001   0.95620+-0.01233
deep 12x4                 709  0.99996+-0.00003   0.95619+-0.00626
deep 12x6                1021  0.99994+-0.00005   0.94210+-0.01622
deep 12x8                1333  0.99997+-0.00002   0.97518+-0.00343
deep 12x10               1645  0.99995+-0.00003   0.96627+-0.00497
deep 12x12               1957  0.99940+-0.00046   0.94923+-0.01033
deep 8x8                  665  0.99880+-0.00113   0.94800+-0.01881
deep 16x8                2225  0.99993+-0.00005   0.96421+-0.01450
deep 24x8                4681  0.99978+-0.00023   0.96148+-0.01067
deep 20x6                2501  0.99994+-0.00003   0.96727+-0.00978
deep 32x6                5921  0.99993+-0.00007   0.97430+-0.01526
bottleneck 32-8-32        1193  0.99998+-0.00000   0.95741+-0.01204
bottleneck 64-8-64        2377  0.99997+-0.00001   0.96914+-0.00867
pyramid 100-50-25       8251  0.99997+-0.00003   0.96366+-0.01136
pyramid 64-48-32-16     6449  0.99994+-0.00004   0.97076+-0.00939

trained in total: 93 networks in 170 s

=== top ten on the hard day ===
  deep 12x8                1333 weights   d12 0.97518+-0.00343   d8 0.99997
  deep 32x6                5921 weights   d12 0.97430+-0.01526   d8 0.99993
  pyramid 64-48-32-16     6449 weights   d12 0.97076+-0.00939   d8 0.99994
  bottleneck 64-8-64        2377 weights   d12 0.96914+-0.00867   d8 0.99997
  deep 20x6                2501 weights   d12 0.96727+-0.00978   d8 0.99994
  deep 12x10               1645 weights   d12 0.96627+-0.00497   d8 0.99995
  3-layer 16                    865 weights   d12 0.96520+-0.00442   d8 0.99991
  deep 16x8                2225 weights   d12 0.96421+-0.01450   d8 0.99993
  pyramid 100-50-25       8251 weights   d12 0.96366+-0.01136   d8 0.99997
  2-layer 128-64              10753 weights   d12 0.96318+-0.01032   d8 0.99995

predictions saved for assembling the council
