
=== day 8: AUC 1.00000; false alarms before 1/2/4/6/8/12th: 0/0/0/0/0/0
   ranks of labelled: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 27]
    rank     src slot  events   users    dsts   newUs  newDst nuRatio   failR history tripleN movedUs freshUs
      15  C20621  215   16.00    1.00    2.00    1.00    1.00    1.00    0.00  677.00   13.00    0.00   16.00
      16  C20621  214    8.00    1.00    1.00    1.00    1.00    1.00    0.00  677.00    8.00    0.00    8.00
      17  C20621  213   15.00    1.00    2.00    1.00    1.00    1.00    0.00  677.00   13.00    0.00   15.00
      18  C21919  215   16.00    2.00    4.00    1.00    4.00    0.50    0.00    2.00    9.00    0.00    9.00
      19   C3699  215   33.00    2.00    3.00    1.00    1.00    0.50    0.00 2277.00   27.00   27.00    0.00
      20  C20621  212   11.00    1.00    3.00    1.00    2.00    1.00    0.00  677.00    9.00    0.00   11.00
      21  C18497  206    2.00    1.00    1.00    1.00    1.00    1.00    0.00   27.00    0.00    2.00    0.00
      22  C18497  207    1.00    1.00    1.00    1.00    1.00    1.00    0.00   27.00    0.00    1.00    0.00
      23  C21919  214   26.00    2.00    4.00    1.00    4.00    0.50    0.00    2.00   16.00    0.00   16.00
      24   C7875  209    1.00    1.00    1.00    1.00    1.00    1.00    1.00   38.00    0.00    1.00    0.00
      25   C3699  214   30.00    2.00    2.00    1.00    1.00    0.50    0.00 2277.00   27.00   27.00    0.00
      26  C20240  209    4.00    1.00    1.00    1.00    1.00    1.00    0.00   21.00    0.00    4.00    0.00
      28  C21919  213    9.00    2.00    2.00    1.00    2.00    0.50    0.00    2.00    8.00    0.00    8.00
      29  C17642  212   15.00    1.00    3.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00
      30  C20621  211   15.00    1.00    2.00    1.00    1.00    1.00    0.00  677.00   13.00    0.00   15.00
      31  C16029  201    7.00    1.00    1.00    0.00    1.00    0.00    0.71   15.00    0.00    0.00    0.00
      32  C17642  210   13.00    1.00    3.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00
      33  C21919  212   24.00    2.00    4.00    1.00    4.00    0.50    0.00    2.00   17.00    0.00   17.00
      34  C17642  211    6.00    1.00    1.00    0.00    1.00    0.00    0.00    2.00    0.00    0.00    0.00
      35  C12016  208    1.00    1.00    1.00    0.00    1.00    0.00    0.00   31.00    0.00    0.00    0.00
      36  C21908  205    7.00    2.00    2.00    1.00    2.00    0.50    0.00   22.00    5.00    0.00    5.00
      37  C20621  210    8.00    1.00    1.00    1.00    1.00    1.00    0.00  677.00    8.00    0.00    8.00
      38  C21919  211    9.00    2.00    2.00    1.00    2.00    0.50    0.00    2.00    8.00    0.00    8.00
      39   C5802  193   74.00    5.00    9.00    1.00    9.00    0.20    0.24 9974.00    1.00    1.00    0.00
      40  C20621  209   13.00    1.00    2.00    1.00    1.00    1.00    0.00  677.00   10.00    0.00   13.00
      41  C21908  203   16.00    2.00    4.00    1.00    4.00    0.50    0.00   22.00    8.00    0.00    8.00
      42  C16029  200    8.00    1.00    1.00    0.00    1.00    0.00    1.00   15.00    0.00    0.00    0.00
      43  C20621  208   12.00    1.00    2.00    1.00    1.00    1.00    0.00  677.00    9.00    0.00   12.00
      44  C17642  209    5.00    1.00    2.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00
      45  C17642  214   11.00    1.00    3.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00
      46  C21919  210   20.00    2.00    2.00    1.00    2.00    0.50    0.00    2.00   15.00    0.00   15.00
